index,rank,added_at,title,artist,isrc,velocity,cm_id,time_on_chart,release_dates,cm_artist_id,label
71,72,2021-02-15T00:00:00.000Z,Blinding Lights,The Weeknd,USUG11904206,,27552418.0,123,"['2019-11-29T00:00:00.000Z', '2020-03-20T00:00:00.000Z', '2020-03-20T00:00:00.000Z', '2020-03-20T00:00:00.000Z', '2020-03-20T00:00:00.000Z', '2020-03-23T00:00:00.000Z', '2020-03-23T00:00:00.000Z', '2020-03-30T00:00:00.000Z', '2020-03-30T00:00:00.000Z', '2020-04-03T00:00:00.000Z', '2020-04-03T00:00:00.000Z', '2020-05-01T00:00:00.000Z', '2020-05-08T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-07-03T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-31T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-17T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-16T00:00:00.000Z', '2021-02-05T00:00:00.000Z', '2021-02-05T00:00:00.000Z']",3852,
72,73,2021-02-15T00:00:00.000Z,Promises (Skrillex & Nero Remix), Skrillex / Nero,GBUM71105544,,13068256.0,203,"['2012-12-24T00:00:00.000Z', '2011-08-15T00:00:00.000Z', '2012-12-24T00:00:00.000Z', '2011-08-09T00:00:00.000Z', '2011-08-16T00:00:00.000Z', '2012-10-22T00:00:00.000Z', '2011-08-07T00:00:00.000Z', '2011-08-15T00:00:00.000Z', '2019-08-09T00:00:00.000Z', '2020-05-08T00:00:00.000Z', '2020-05-22T00:00:00.000Z', '2020-07-03T00:00:00.000Z']",3371,MTA/Mercury/Interscope/Universal
74,75,2021-02-15T00:00:00.000Z,Perfect,Ed Sheeran,GBAHS1700024,,12450042.0,276,"['2017-03-03T00:00:00.000Z', '2020-12-19T00:00:00.000Z', '2020-12-19T00:00:00.000Z', '2021-02-01T00:00:00.000Z', '2021-01-29T00:00:00.000Z', '2021-02-05T00:00:00.000Z', '2021-02-12T00:00:00.000Z', '2021-02-12T00:00:00.000Z']",3648,UK: Asylum/Atlantic | US: Elektra
76,77,2021-02-15T00:00:00.000Z,Just Water,Bryansanon,QM24S2100539,45.4285714285714,32695234.0,11,['2021-01-29T00:00:00.000Z'],4214327,
77,78,2021-02-15T00:00:00.000Z,Esquema Preferido,DJ Ivis,BR90B2002405,-5.14285714285714,32091204.0,26,['2020-11-26T00:00:00.000Z'],33747,
79,80,2021-02-15T00:00:00.000Z,Mecnun,Enbe Orkestrası,TR0011500118,1.28571428571429,14432688.0,11,['2016-01-08T00:00:00.000Z'],172351,Alfa7
80,81,2021-02-15T00:00:00.000Z,Burning Pile,Mother Mother,CAL450882102,4.85714285714286,11176554.0,61,"['2008-01-01T00:00:00.000Z', '2008-09-16T00:00:00.000Z', '2008-01-01T00:00:00.000Z', '2008-01-01T00:00:00.000Z']",46684,Universal Music Canada
81,82,2021-02-15T00:00:00.000Z,Aduh Mamae Ada Cowo Baju Hitam (DJ Tik Tok Remix),Mamae,GBKQU2102343,-0.571428571428571,32574988.0,26,['2021-01-14T00:00:00.000Z'],4189431,
82,83,2021-02-15T00:00:00.000Z,Olha a Bomba,Mc Ed & MC Charmosinho,QZ5AB2033984,,20502313.0,3,['2018-08-24T00:00:00.000Z'],1132633,
84,85,2021-02-15T00:00:00.000Z,Pieces (Solo Piano Version),Danilo Stankovic,QZAKB2006575,15.8571428571429,31615283.0,174,['2020-09-17T00:00:00.000Z'],3938400,
85,86,2021-02-15T00:00:00.000Z,M4,Teto,BXW922000017,,32602422.0,5,['2021-01-20T00:00:00.000Z'],3642054,
87,88,2021-02-15T00:00:00.000Z,Viciou na Flauta,Chefe Coringa & MC Reino & Barca na Batida,QZEQU2069293,-6.71428571428571,31961065.0,39,['2001-01-01T00:00:00.000Z'],1375642,
88,89,2021-02-15T00:00:00.000Z,Zanzibar,Billy Joel,USSM17800449,-7.85714285714286,15810476.0,25,"['1978-01-01T00:00:00.000Z', '1978-01-01T00:00:00.000Z', '1987-01-01T00:00:00.000Z']",42,
89,90,2021-02-15T00:00:00.000Z,Up,Cardi B,USAT22100061,40.1428571428571,32746863.0,10,"['2021-02-05T00:00:00.000Z', '2021-02-04T00:00:00.000Z']",200408,
90,91,2021-02-15T00:00:00.000Z,Последний предатель,Аня Pokrov,QMFMF2053138,-1.57142857142857,32684748.0,19,['2021-01-25T00:00:00.000Z'],3831722,
91,92,2021-02-15T00:00:00.000Z,Beat Box 2,SpotemGottem,USA2P2043560,-1.85714285714286,32320471.0,26,"['2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z']",1464950,
92,93,2021-02-15T00:00:00.000Z,FALA MAL DE MIM,Pedro Sampaio,BRWMB2001244,15.1428571428571,32686585.0,11,['2021-01-28T00:00:00.000Z'],1151187,
93,94,2021-02-15T00:00:00.000Z,Mungkin Hari Ini Esok Atau Nanti,Anneth,FRX872024128,-1.0,31733715.0,70,['2020-10-20T00:00:00.000Z'],912391,
94,95,2021-02-15T00:00:00.000Z,Vacation Transition,Nagma Mirajkar 💜,USDPK1700118,0.0,15241811.0,12,"['2017-10-13T00:00:00.000Z', '2017-06-30T00:00:00.000Z', '2018-10-19T00:00:00.000Z', '2020-08-14T00:00:00.000Z']",211964,Five Seven Music
95,96,2021-02-15T00:00:00.000Z,Моя голова винтом,kostromin,QM4TW2159341,15.2857142857143,32733452.0,11,['2021-02-02T00:00:00.000Z'],4158039,
98,99,2021-02-15T00:00:00.000Z,Top Class Desi,Jimmy Kaler,FR26V2017640,15.1428571428571,31906360.0,24,['2020-10-31T00:00:00.000Z'],4062458,
99,100,2021-02-15T00:00:00.000Z,Camry 3.5,UncleFlex 💸,TCAFI2004692,-1.28571428571429,32464466.0,40,"['2021-01-01T00:00:00.000Z', '2021-01-01T00:00:00.000Z']",4165263,
