index,rank,added_at,title,artist,isrc,velocity,cm_id,time_on_chart,release_dates,cm_artist_id,before,after,listener_diff,percent increase,IG_f15,IG_f21,TW_f15,TW_f21,Tiktok_f15,Tiktok_f21,Tiktok Status
31,33,2021-01-21,ฉันอ้วน,TimeTime,FR26V2026648,38.5714285714286,32001188.0,45,['2020-11-09T00:00:00.000Z'],4106514,,,,,,,,,,,No Tiktok
32,34,2021-01-21,Vazgeçtim İnan,İrem Derici,TR0012000441,20.1428571428571,32450849.0,13,['2021-01-01T00:00:00.000Z'],469850,880974.0,907018.0,26044.0,2.956273397398788,7078541.0,7089861.0,809106.0,809198.0,663500.0,671200.0,Has Tiktok
33,35,2021-01-21,Whoopty,Real CJ,USA2P2031043,-0.7142857142857142,31140457.0,79,"['2020-08-20T00:00:00.000Z', '2020-11-06T00:00:00.000Z']",826529,16131290.0,16913912.0,782622.0,4.8515772762128755,260184.0,294344.0,1196.0,1217.0,,,No Tiktok
34,36,2021-01-21,L-Gante Rkt,Papu DJ & L-Gante,USLZJ2043719,6.857142857142861,31604648.0,30,['2020-10-06T00:00:00.000Z'],741543,2072414.0,2372098.0,299684.0,14.460624180303741,8745.0,17661.0,,,,,No Tiktok
35,37,2021-01-21,Click Clack Bum,Kant & NOG & Spinardi,QZNJW2002860,-1.42857142857143,31825480.0,15,['2020-10-30T00:00:00.000Z'],835566,1054599.0,1085616.0,31017.0,2.941117903582309,1609332.0,1645157.0,1048.0,1047.0,,,No Tiktok
36,38,2021-01-21,Blood // Water,grandson,TCADI1720999,16.428571428571402,17459643.0,132,"['2017-10-27T00:00:00.000Z', '2018-05-04T00:00:00.000Z', '2018-06-15T00:00:00.000Z', '2019-12-20T00:00:00.000Z', '2019-12-20T00:00:00.000Z', '2020-03-20T00:00:00.000Z', '2020-08-13T00:00:00.000Z', '2020-12-18T00:00:00.000Z']",215304,6241020.0,6284910.0,43890.0,0.7032504302181374,234078.0,234239.0,68848.0,69181.0,587800.0,588000.0,Has Tiktok
37,39,2021-01-21,Best Ever,Polo Frost,QM33K1600047,879.8571428571429,13770151.0,8,['2016-11-18T00:00:00.000Z'],215565,9952.0,20348.0,10396.0,104.46141479099677,18213.0,18260.0,1811.0,1814.0,,,No Tiktok
38,40,2021-01-21,drivers license,Olivia Rodrigo,USUG12004749,,32507149.0,3,['2021-01-08T00:00:00.000Z'],260477,7210797.0,17935660.0,10724863.0,148.7333924391437,4157696.0,4994136.0,395075.0,473484.0,3400000.0,4100000.0,Has Tiktok
39,41,2021-01-21,Time of Our Lives,Pitbull,USRC11402647,-0.14285714285714302,15676785.0,36,"['2014-11-21T00:00:00.000Z', '2015-06-02T00:00:00.000Z', '2015-06-22T00:00:00.000Z', '2014-11-17T00:00:00.000Z']",1896,22230419.0,22649975.0,419556.0,1.887305857797822,8216109.0,8227043.0,25537660.0,25536399.0,951600.0,955700.0,Has Tiktok
40,42,2021-01-21,Apaga la Luz (feat. Ovy On The Drums),Kimberly Loaiza ✨,CA5KR2120229,-1.57142857142857,32328406.0,30,['2020-12-18T00:00:00.000Z'],1622926,1385940.0,1380763.0,-5177.0,-0.37353709395789136,25129021.0,25229018.0,5675692.0,5699101.0,34300000.0,34800000.0,Has Tiktok
41,43,2021-01-21,Monster,LUM!X & Gabry Ponte,ITV951900009,,22858728.0,253,"['2019-04-19T00:00:00.000Z', '2019-04-19T00:00:00.000Z', '2019-04-19T00:00:00.000Z', '2020-04-01T00:00:00.000Z']",787669,5147913.0,5158267.0,10354.0,0.20113005017761568,10145.0,10210.0,53.0,53.0,,,No Tiktok
42,44,2021-01-21,Snowman,Sia,USAT21704212,-1.42857142857143,17652389.0,84,"['2018-11-01T00:00:00.000Z', '2017-11-09T00:00:00.000Z', '2017-11-17T00:00:00.000Z', '2017-11-17T00:00:00.000Z', '2019-10-04T00:00:00.000Z', '2019-10-11T00:00:00.000Z', '2019-11-01T00:00:00.000Z', '2019-10-11T00:00:00.000Z', '2019-10-11T00:00:00.000Z', '2019-10-11T00:00:00.000Z', '2019-10-04T00:00:00.000Z', '2019-09-27T00:00:00.000Z', '2019-09-27T00:00:00.000Z', '2019-09-27T00:00:00.000Z', '2019-09-27T00:00:00.000Z', '2019-09-27T00:00:00.000Z', '2019-10-11T00:00:00.000Z', '2020-09-21T00:00:00.000Z', '2020-09-21T00:00:00.000Z', '2020-10-02T00:00:00.000Z', '2020-10-02T00:00:00.000Z', '2020-10-02T00:00:00.000Z', '2020-10-02T00:00:00.000Z', '2020-10-02T00:00:00.000Z', '2020-10-02T00:00:00.000Z', '2020-10-02T00:00:00.000Z', '2020-10-02T00:00:00.000Z', '2020-10-09T00:00:00.000Z', '2020-10-09T00:00:00.000Z', '2020-10-09T00:00:00.000Z', '2020-10-16T00:00:00.000Z', '2020-10-16T00:00:00.000Z', '2020-10-16T00:00:00.000Z', '2020-10-16T00:00:00.000Z', '2020-10-16T00:00:00.000Z', '2020-10-16T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-27T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-09T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-19T00:00:00.000Z', '2020-12-19T00:00:00.000Z', '2020-12-25T00:00:00.000Z']",1702,52231718.0,50761383.0,-1470335.0,-2.8150232393274908,6066192.0,6073348.0,3840290.0,3840820.0,3500000.0,3600000.0,Has Tiktok
43,45,2021-01-21,Glow Up,IZΛ,USQX91800798,,19169039.0,29,"['2018-05-03T00:00:00.000Z', '2018-11-01T00:00:00.000Z', '2019-03-14T00:00:00.000Z', '2019-04-12T00:00:00.000Z']",1702,52231718.0,50761383.0,-1470335.0,-2.8150232393274908,6066192.0,6073348.0,3840290.0,3840820.0,3500000.0,3600000.0,Has Tiktok
44,46,2021-01-21,Coffee for Your Head,Vinyll,QZFYZ2047397,,28696807.0,192,['2020-01-28T00:00:00.000Z'],3571518,955.0,945.0,-10.0,-1.0471204188481675,,,,,,,No Tiktok
45,47,2021-01-21,Mood,24kGoldn,USQX92003025,,30361159.0,137,"['2020-07-24T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-12-17T00:00:00.000Z']",1005525,40187430.0,40188185.0,755.0,0.0018786968960194767,777084.0,788994.0,44798.0,46188.0,3300000.0,3600000.0,Has Tiktok
46,48,2021-01-21,In The End - Mellen Gi Remix,Tommee Profitt,TCADO1871408,,18965480.0,142,"['2018-04-06T00:00:00.000Z', '2019-03-22T00:00:00.000Z', '2020-05-01T00:00:00.000Z', '2020-06-12T00:00:00.000Z', '2020-07-31T00:00:00.000Z', '2020-11-20T00:00:00.000Z']",491800,3142670.0,3103728.0,-38942.0,-1.2391374213646358,58953.0,59165.0,11911.0,11919.0,,,No Tiktok
47,49,2021-01-21,Não Fica Apaixonadinha,MC Lorenzo,QZMZ92045805,3.71428571428571,31769803.0,56,"['2020-08-31T00:00:00.000Z', '2020-10-28T00:00:00.000Z', '2020-10-28T00:00:00.000Z']",4003192,553473.0,518619.0,-34854.0,-6.297326156831498,,,,,,,No Tiktok
